id,text,startTime,endTime,Character,Location,Time,Plot arc
2,朝目が覚めると・・・,"00:01:07,260","00:01:09,840",みつは,東京,"Present, spring",
3,なぜか泣いている。,"00:01:09,840","00:01:11,840",みつは,東京,"Present, spring",
4,そういうことが、時々ある。,"00:01:11,840","00:01:15,290",みつは,東京,"Present, spring",
5,見ていたはずの夢は、,"00:01:15,290","00:01:17,820",たき,東京,"Present, spring",
6,いつも思い出せない。,"00:01:17,820","00:01:19,820",たき,東京,"Present, spring",
7,ただ・・・,"00:01:19,820","00:01:22,800",みつは＆たき,東京,"Present, spring",Tears
8,なにかが消えてしまったという感覚だけが、,"00:01:22,800","00:01:26,090",みつは,東京,"Present, spring",Tears
9,目覚めてからも長く残る。,"00:01:26,090","00:01:29,080",みつは,東京,"Present, spring",
10,ずっと何かを・・・,"00:01:37,310","00:01:39,300",たき,東京,"Present, spring",
11,誰かを・・・探している。,"00:01:39,300","00:01:42,410",たき,東京,"Present, spring",
12,そういう気持ちに取り憑かれたのは、,"00:01:42,410","00:01:45,540",みつは,東京,"Present, spring",
13,たぶんあの日から。,"00:01:45,540","00:01:47,540",みつは,東京,"Present, spring",
14,あの日・・・星が降った日。,"00:01:48,510","00:01:52,270",たき,東京,"Past 2, 10/4",Comet
15,それはまるで、,"00:01:52,270","00:01:53,930",たき,東京,"Past 2, 10/4",Comet
16,まるで、夢の景色のように、,"00:01:54,010","00:01:57,210",みつは,田舎,"Past 2, 10/4",Comet
17,ただひたすらに・・・,"00:01:57,210","00:01:59,210",みつは,田舎,"Past 2, 10/4",Comet
18,美しい眺めだった。,"00:01:59,210","00:02:02,840",みつは＆たき,田舎,"Past 2, 10/4",Comet
19,ああこのまま僕たちの声が,"00:02:02,840","00:02:07,410",opening song,,Opening song,
20,世界の端っこまで消えることなく,"00:02:07,410","00:02:13,410",opening song,,Opening song,
21,届いたりしたらいいのにな,"00:02:13,410","00:02:17,970",opening song,,Opening song,
22,そしたらねぇ二人で,"00:02:18,520","00:02:22,010",opening song,,Opening song,
23,どんな言葉を放とう,"00:02:22,010","00:02:24,690",opening song,,Opening song,
24,消えることない約束,"00:02:24,690","00:02:27,770",opening song,,Opening song,
25,を二人で「せーの」で言おう,"00:02:27,770","00:02:32,090",opening song,,Opening song,
26,あぁ,"00:02:35,810","00:02:41,810",opening song,,Opening song,
27,願ったらなにがしかが叶う,"00:02:41,810","00:02:44,860",opening song,,Opening song,
28,その言葉の眼をもう見れなくなったのは,"00:02:44,860","00:02:48,820",opening song,,Opening song,
29,一体いつからだろうかなにゆえだろうか,"00:02:48,820","00:02:52,720",opening song,,Opening song,
30,あぁ雨の止むまさにその切れ間と,"00:02:52,720","00:02:55,710",opening song,,Opening song,
31,虹の出発点終点と,"00:02:55,730","00:02:58,450",opening song,,Opening song,
32,この命果てる場所に何かがあるって,"00:02:58,450","00:03:01,940",opening song,,Opening song,
33,いつも言い張っていた,"00:03:01,940","00:03:04,360",opening song,,Opening song,
34,いつか行こう全生命も未到未開拓,"00:03:08,890","00:03:13,220",opening song,,Opening song,
35,の感情にハイタッチして時間にキスを,"00:03:13,980","00:03:18,640",opening song,,Opening song,
36,５次元にからかわれて,"00:03:18,640","00:03:21,180",opening song,,Opening song,
37,それでも君をみるよ,"00:03:21,180","00:03:23,970",opening song,,Opening song,
38,またはじめましての合図を決めよう,"00:03:23,970","00:03:28,480",opening song,,Opening song,
39,君の名を今追いかけるよ,"00:03:30,060","00:03:33,470",opening song,,Opening song,
40,瀧くん,"00:03:59,870","00:04:01,230",みつは,田舎,"Past 2, 9/2",Scene change
41,瀧くん,"00:04:01,940","00:04:03,890",みつは,田舎,"Past 2, 9/2",
42,覚えて・・・ない？,"00:04:04,690","00:04:07,290",みつは,東京,"Past 2, 9/2",Door
43,名前は・・・,"00:04:09,050","00:04:11,210",みつは,東京,"Past 2, 10/3",Memory
44,三葉！,"00:04:11,930","00:04:14,210",みつは,東京,"Past 2, 10/3",Memory // String
45,お姉ちゃん、何しとるの？,"00:04:49,130","00:04:52,060",よつは,田舎,"Past 2, 9/2",
46,すげー本物っぽいなって,"00:04:52,830","00:04:55,800",たき,田舎,"Past 2, 9/2",Breasts
47,え？・・・お姉ちゃん？,"00:04:56,040","00:04:58,220",よつは,田舎,"Past 2, 9/2",
48,"なに寝ぼけとんの？
　ご・は・ん！","00:04:58,220","00:05:01,370",よつは,田舎,"Past 2, 9/2",
49,早起きな。,"00:05:01,370","00:05:04,190",よつは,田舎,"Past 2, 9/2",
50,え？ええ？,"00:05:22,640","00:05:25,160",たき,田舎,"Past 2, 9/2",
51,ええええっ？,"00:05:25,560","00:05:28,620",たき,田舎,"Past 2, 9/2",
52,お婆ちゃん昨日のお魚出す？,"00:05:34,000","00:05:36,620",よつは,田舎,"Past 2, 9/3",Scene change
53,アンタが食べや。,"00:05:36,620","00:05:38,450",おばあちゃん,田舎,"Past 2, 9/3",
54,"おはよう・・・
おはよう・・・","00:05:38,450","00:05:40,400",たき,田舎,"Past 2, 9/3",
55,お姉ちゃん、遅い！,"00:05:40,400","00:05:42,450",よつは,田舎,"Past 2, 9/3",
56,明日はわたしが作るでね。,"00:05:42,450","00:05:44,460",みつは,田舎,"Past 2, 9/3",
57,食べ過ぎか・・・,"00:05:49,370","00:05:51,440",みつは,田舎,"Past 2, 9/3",
58,ま、いっか。,"00:05:51,440","00:05:52,700",みつは,田舎,"Past 2, 9/3",
59,今日は普通やな。,"00:05:52,700","00:05:54,490",よつは,田舎,"Past 2, 9/3",
60,え？,"00:05:54,520","00:05:55,280",みつは,田舎,"Past 2, 9/3",
61,昨日はヤバかったもんな。,"00:05:55,280","00:05:57,280",よつは,田舎,"Past 2, 9/3",
62,ええ？ちょっと何？,"00:05:57,280","00:06:00,350",みつは,田舎,"Past 2, 9/3",
63,おはようございます。,"00:06:02,100","00:06:04,980",放送,田舎,"Past 2, 9/3",
64,町役場から朝のお知らせです。,"00:06:04,980","00:06:09,960",放送,田舎,"Past 2, 9/3",
65,来月二十日に行われる・・・,"00:06:09,960","00:06:13,090",放送,田舎,"Past 2, 9/3",
66,糸守町町長選挙について・・・,"00:06:13,090","00:06:16,320",放送,田舎,"Past 2, 9/3",
67,町の選挙・・・,"00:06:16,320","00:06:18,750",放送,田舎,"Past 2, 9/3",
68,1200年に一度という彗星の来訪が、,"00:06:20,660","00:06:24,240",テレビ,田舎,"Past 2, 9/3",Comet
69,いよいよひと月後に迫っています。,"00:06:24,240","00:06:26,360",テレビ,田舎,"Past 2, 9/3",Comet
70,彗星は数日間に渡って・・・,"00:06:26,360","00:06:29,260",テレビ,田舎,"Past 2, 9/3",Comet
71,肉眼でも観測できる,"00:06:29,260","00:06:31,260",テレビ,田舎,"Past 2, 9/3",Comet
72,いい加減仲直りしないよ？,"00:06:31,260","00:06:33,310",よつは,田舎,"Past 2, 9/3",Family relationship
73,大人の問題！,"00:06:33,310","00:06:35,080",みつは,田舎,"Past 2, 9/3",Family relationship
74,世界中の研究機関は・・・,"00:06:35,080","00:06:36,860",テレビ,田舎,"Past 2, 9/3",
75,観測のための準備を追われれています。,"00:06:36,860","00:06:39,330",テレビ,田舎,"Past 2, 9/3",String (in pause after)
76,行ってきまーす。,"00:06:55,150","00:06:56,970",みつは＆よつは,田舎,"Past 2, 9/3",Door
77,お祖母ちゃん・・・米屋さん・・・,"00:07:00,860","00:07:04,130",よつは,田舎,"Past 2, 9/3",
78,しっかり勉強しといで。,"00:07:17,500","00:07:20,340",よつは,田舎,"Past 2, 9/3",
79,あ、,"00:07:22,030","00:07:23,700",さや,田舎,"Past 2, 9/3",
80,三葉！,"00:07:24,490","00:07:26,290",さや,田舎,"Past 2, 9/3",
81,おはよ。さやちん、てっしー,"00:07:26,290","00:07:28,530",みつは,田舎,"Past 2, 9/3",
82,お早う。－おまえ早く降りろう。,"00:07:28,530","00:07:31,100",テッシー,田舎,"Past 2, 9/3",
83,いいやん、けち。,"00:07:31,100","00:07:32,460",さや,田舎,"Past 2, 9/3",
84,重いやさ。,"00:07:32,500","00:07:34,080",テッシー,田舎,"Past 2, 9/3",
84,失礼やな。,"00:07:32,500","00:07:34,080",さや,田舎,"Past 2, 9/3",
85,あんたたち仲いいなぁ。,"00:07:34,160","00:07:36,520",みつは,田舎,"Past 2, 9/3",
86,良くないわ！,"00:07:36,580","00:07:38,580",テッシー＆さや,田舎,"Past 2, 9/3",
87,三葉、今日は髪ちゃんとしとるな。,"00:07:39,860","00:07:42,610",テッシー,田舎,"Past 2, 9/3",
88,え？なに？,"00:07:42,840","00:07:44,080",みつは,田舎,"Past 2, 9/3",
89,"そうや、ちゃんとおばあちゃんにお祓いしてもらったんか？
","00:07:44,080","00:07:47,780",テッシー,田舎,"Past 2, 9/3",
,-お祓い？,"00:07:44,080","00:07:47,780",みつは,田舎,"Past 2, 9/3",
90,ありゃあ、絶対狐憑きや！,"00:07:47,840","00:07:50,080",テッシー,田舎,"Past 2, 9/3",
91,なんでもオカルトにしんな！,"00:07:50,080","00:07:52,460",さや,田舎,"Past 2, 9/3",
92,きっと三葉はストレス溜まっとるんよ。なぁ？,"00:07:52,460","00:07:55,330",さや,田舎,"Past 2, 9/3",
93,え、ちょっと、なんの話？,"00:07:55,330","00:07:57,780",みつは,田舎,"Past 2, 9/3",
94,何ってお前・・・,"00:07:57,780","00:07:59,650",テッシー,田舎,"Past 2, 9/3",
95,そして何よりも・・・,"00:08:00,620","00:08:02,820",お父さん,田舎,"Past 2, 9/3",
96,集落再生事業の継続、,"00:08:02,820","00:08:05,310",お父さん,田舎,"Past 2, 9/3",
97,そのための町の財政健全化・・・,"00:08:05,310","00:08:08,280",お父さん,田舎,"Past 2, 9/3",
98,それが実現委して初めて・・・,"00:08:08,280","00:08:10,440",お父さん,田舎,"Past 2, 9/3",
99,安全安心な町が出来るのです。,"00:08:10,440","00:08:13,640",お父さん,田舎,"Past 2, 9/3",
100,原則として・・・,"00:08:13,640","00:08:16,010",お父さん,田舎,"Past 2, 9/3",
101,どうせ今期も宮水さんで決まりやろ。,"00:08:16,010","00:08:19,260",モブ,田舎,"Past 2, 9/3",
102,相当撒いとるしなぁ、ここだけの話。,"00:08:19,260","00:08:22,050",モブ,田舎,"Past 2, 9/3",
103,おう、宮水。,"00:08:22,050","00:08:23,780",クラスメイト,田舎,"Past 2, 9/3",
104,おはよ。,"00:08:23,780","00:08:24,820",クラスメイト,田舎,"Past 2, 9/3",
105,町長と土建屋はその子供も仲ええなぁ。,"00:08:25,690","00:08:28,970",クラスメイト,田舎,"Past 2, 9/3",
106,町作りを完成させていただきたいと。,"00:08:30,300","00:08:32,960",お父さん,田舎,"Past 2, 9/3",
107,三葉！,"00:08:34,690","00:08:36,720",お父さん,田舎,"Past 2, 9/3",Family relationship
108,胸張って歩かんか。,"00:08:36,720","00:08:39,460",お父さん,田舎,"Past 2, 9/3",Family relationship
109,身内にも厳しいなぁ。,"00:08:39,460","00:08:41,690",モブ,田舎,"Past 2, 9/3",
110,さすが町長や。,"00:08:41,690","00:08:43,040",モブ,田舎,"Past 2, 9/3",
111,"恥ずかし。
ちょっとかわいそう。","00:08:43,040","00:08:46,200",クラスメイト,田舎,"Past 2, 9/3",
112,三葉。,"00:08:46,200","00:08:48,200",さや,田舎,"Past 2, 9/3",
113,こんなときばっかり･･･,"00:08:48,200","00:08:50,440",みつは,田舎,"Past 2, 9/3",
114,誰そ彼、,"00:09:04,060","00:09:05,640",先生,田舎,"Past 2, 9/3","Notebook (""who are you?"") // Twighlight"
115,これが黄昏時の語源ね。,"00:09:05,640","00:09:08,170",先生,田舎,"Past 2, 9/3",Twighlight
116,黄昏時はわかるでしょ？,"00:09:08,170","00:09:10,500",先生,田舎,"Past 2, 9/3",Twighlight
117,夕方、昼でも夜でもない時間。,"00:09:10,500","00:09:14,250",先生,田舎,"Past 2, 9/3",Twighlight
118,世界の輪郭がぼやけて、,"00:09:14,250","00:09:16,620",先生,田舎,"Past 2, 9/3",Twighlight
119,人ならざるものに会うかもしれない時間。,"00:09:16,620","00:09:19,880",先生,田舎,"Past 2, 9/3",Twighlight
120,もっと古くはかれたそ時とか,"00:09:19,880","00:09:24,120",先生,田舎,"Past 2, 9/3",Twighlight
121,かはたれ時とも言ったそうです。,"00:09:24,120","00:09:27,580",先生,田舎,"Past 2, 9/3",Twighlight
122,質問・・・それってかたわれ時やないの？,"00:09:27,580","00:09:30,520",クラスメイト,田舎,"Past 2, 9/3",
123,かたわれ時？それはこのあたりの方言じゃない？,"00:09:30,520","00:09:34,480",先生,田舎,"Past 2, 9/3",
124,糸守のお年寄りには万葉言葉が残ってるって聞くし・・・,"00:09:34,480","00:09:38,220",先生,田舎,"Past 2, 9/3",
125,ど田舎やもんなー。,"00:09:38,220","00:09:39,410",クラスメイト,田舎,"Past 2, 9/3",
126,じゃあ、次、宮水さん。,"00:09:42,650","00:09:44,540",先生,田舎,"Past 2, 9/3","Notebook (""who are you?"")"
127,あ、はい！,"00:09:44,540","00:09:46,880",みつは,田舎,"Past 2, 9/3",
128,今日は自分の名前覚えてるのね。,"00:09:46,880","00:09:50,040",先生,田舎,"Past 2, 9/3",
129,覚えとらんの。,"00:09:52,620","00:09:54,340",さや,田舎,"Past 2, 9/3",Scene change
130,あんた、だって昨日は自分の机もロッカーも忘れたって言って、,"00:09:56,110","00:10:00,200",さや,田舎,"Past 2, 9/3",
131,髪はぼさぼさで寝ぐせついとったしリボンはしとらんかったし。,"00:10:00,240","00:10:03,920",さや,田舎,"Past 2, 9/3",
132,えええええ？うそ、ほんと？,"00:10:05,820","00:10:08,770",みつは,田舎,"Past 2, 9/3",
133,なんか、記憶喪失みたいやったよ。,"00:10:08,770","00:10:10,910",さや,田舎,"Past 2, 9/3",
134,うーん・・・ずっと変な夢を見とったような気がするんやけど・・・,"00:10:10,910","00:10:15,790",みつは,田舎,"Past 2, 9/3",
135,なんか・・・別の人の人生の夢・・・,"00:10:15,790","00:10:18,720",みつは,田舎,"Past 2, 9/3",
136,よく覚えとらんなぁ・・・,"00:10:19,950","00:10:22,130",みつは,田舎,"Past 2, 9/3",
137,わかった！それって前世の記憶や。,"00:10:22,130","00:10:26,160",テッシー,田舎,"Past 2, 9/3",
138,若しくは、エヴェレットの多世界解釈に基づく、或いはマルチバーストに無意識に接続したっちゅ・・・,"00:10:26,160","00:10:30,340",テッシー,田舎,"Past 2, 9/3",
139,あんたは黙っといて！,"00:10:30,340","00:10:31,790",てっしー,田舎,"Past 2, 9/3",
140,あー、てっしー、もしかしてあんたががわたしのノートに・・・？,"00:10:31,790","00:10:34,990",みつは,田舎,"Past 2, 9/3",Doubting a friend
141,え？,"00:10:34,990","00:10:36,140",テッシー,田舎,"Past 2, 9/3",
142,あ、ううん。なんでもない・・・,"00:10:36,140","00:10:38,120",みつは,田舎,"Past 2, 9/3",
143,でも三葉、昨日はマジでちょっと変やったよ。,"00:10:39,310","00:10:42,860",さや,田舎,"Past 2, 9/3",
144,なんか、体調悪いんやない？,"00:10:42,860","00:10:45,360",さや,田舎,"Past 2, 9/3",
145,うーん、おかしいなぁ。元気やけどなぁ。,"00:10:46,090","00:10:49,780",みつは,田舎,"Past 2, 9/3",
146,ストレスとかやない？ほら、例の儀式もうすぐやろ。,"00:10:49,780","00:10:53,660",さや,田舎,"Past 2, 9/3",
147,あぁ！もう言わんといて。もう私この町嫌や・・・,"00:10:53,660","00:10:58,600",みつは,田舎,"Past 2, 9/3",
148,狭すぎるし濃すぎるし！,"00:10:58,600","00:11:01,530",みつは,田舎,"Past 2, 9/3",
149,さっさと卒業して早く東京行きたいわぁ。,"00:11:01,530","00:11:04,990",みつは,田舎,"Past 2, 9/3",
150,まぁなぁ、ほんとに何もないもんなぁこの町・・・,"00:11:04,990","00:11:09,500",さや,田舎,"Past 2, 9/3",
151,電車なんか二時間に一本やし・・・,"00:11:11,060","00:11:13,660",さや,田舎,"Past 2, 9/3",
152,コンビニは９時に閉まるし・・・,"00:11:13,660","00:11:15,760",みつは,田舎,"Past 2, 9/3",
153,本屋ないし、歯医者ないしな・・・,"00:11:15,760","00:11:17,790",さや,田舎,"Past 2, 9/3",
154,その癖スナックは二軒もあるし。,"00:11:17,790","00:11:20,210",みつは,田舎,"Past 2, 9/3",
155,"雇用はないし。
嫁は来ないし。","00:11:20,210","00:11:22,460",さや、みつは,田舎,"Past 2, 9/3",
156,日照時間は短いし,"00:11:22,460","00:11:24,650",さや,田舎,"Past 2, 9/3",
157,お前らなー！,"00:11:26,330","00:11:27,950",テッシー,田舎,"Past 2, 9/3",
158,なによ？,"00:11:27,950","00:11:29,950",さや,田舎,"Past 2, 9/3",
159,そんなことよりカフェにでも寄ってかんか？,"00:11:29,950","00:11:32,580",テッシー,田舎,"Past 2, 9/3",
160,えー！カフェ？どこー？,"00:11:32,580","00:11:35,620",さやちん＆みつは,田舎,"Past 2, 9/3",
161,"こんにちは。
こんにちは。","00:11:39,180","00:11:42,440",モブ＆さやちん,田舎,"Past 2, 9/3",Doggo!
162,なにがカフェやさ早耶香。,"00:11:46,890","00:11:48,920",さやちん,田舎,"Past 2, 9/3",
163,この町にそんなんあるか。,"00:11:48,920","00:11:51,130",テッシー,田舎,"Past 2, 9/3",
164,三葉帰ってまったやろ。,"00:11:51,130","00:11:53,720",さやちん,田舎,"Past 2, 9/3",
165,あの子も大変やよね。,"00:11:54,600","00:11:57,140",さやちん,田舎,"Past 2, 9/3",
166,まぁ三葉は主役やからな。,"00:11:57,140","00:11:59,680",テッシー,田舎,"Past 2, 9/3",
167,せやな・・・,"00:11:59,680","00:12:01,050",さやちん,田舎,"Past 2, 9/3",
168,ねぇ、てっしー？,"00:12:03,540","00:12:05,480",さやちん,田舎,"Past 2, 9/3",Doggo!
169,高校卒業したらどうする？,"00:12:07,100","00:12:09,840",さやちん,田舎,"Past 2, 9/3",
170,なんやさ急に。将来とかの話？,"00:12:09,840","00:12:12,840",テッシー,田舎,"Past 2, 9/3",
171,うん。,"00:12:12,840","00:12:13,810",さやちん,田舎,"Past 2, 9/3",
172,別に。普通にずっとこの町で暮らしていくんやと思うよ、俺は。,"00:12:14,540","00:12:19,800",テッシー,田舎,"Past 2, 9/3",
173,あーん、わたしもそっちがいいわ。,"00:12:34,450","00:12:38,040",よつは,田舎,"Past 2, 9/3",Scene change
174,四葉にはまだ早いわ。,"00:12:38,040","00:12:40,840",おばあちゃん,田舎,"Past 2, 9/3",String
175,糸の声を聞いてみない。,"00:12:40,840","00:12:43,370",おばあちゃん,田舎,"Past 2, 9/3",String
176,そやって糸を巻いとるとな、,"00:12:43,370","00:12:46,530",おばあちゃん,田舎,"Past 2, 9/3",String
177,じきに人と糸との間に感情が流れ出すで。,"00:12:46,530","00:12:51,000",おばあちゃん,田舎,"Past 2, 9/3",String
178,糸はしゃべらんもん。,"00:12:51,000","00:12:52,690",よつは,田舎,"Past 2, 9/3",
179,集中しろってことやよ,"00:12:52,690","00:12:54,810",みつは,田舎,"Past 2, 9/3",
180,わしらの組紐にはな、,"00:12:54,810","00:12:57,490",おばあちゃん,田舎,"Past 2, 9/3",Shrine
181,糸守千年の歴史が刻まれとる。,"00:12:57,490","00:13:00,780",おばあちゃん,田舎,"Past 2, 9/3",Shrine
182,ええか、遡ること二百年前・・・,"00:13:00,780","00:13:04,720",おばあちゃん,田舎,"Past 2, 9/3",Shrine
183,始まった。,"00:13:04,720","00:13:06,210",みつは,田舎,"Past 2, 9/3",
184,ぞうり屋の山崎繭五郎の風呂場から火が出て・・・,"00:13:06,210","00:13:10,450",おばあちゃん,田舎,"Past 2, 9/3",Shrine
185,このへんはみんな丸焼けになってまった。,"00:13:10,450","00:13:13,450",おばあちゃん,田舎,"Past 2, 9/3",Shrine
186,お宮も古文書もみな焼け、,"00:13:13,450","00:13:16,780",おばあちゃん,田舎,"Past 2, 9/3",Shrine
187,これが俗にいう,"00:13:16,780","00:13:18,400",おばあちゃん,田舎,"Past 2, 9/3",Shrine
188,繭五郎の大火,"00:13:18,400","00:13:20,000",みつは,田舎,"Past 2, 9/3",Shrine
189,えっ、名前ついとるの？,"00:13:20,000","00:13:22,540",よつは,田舎,"Past 2, 9/3",
190,繭五郎さんかわいそう・・・,"00:13:22,540","00:13:25,040",よつは,田舎,"Past 2, 9/3",
191,おかげで祭りの意味もわからんくなってまって、,"00:13:25,040","00:13:28,610",おばあちゃん,田舎,"Past 2, 9/3",Shrine
192,残ったのは形だけ。,"00:13:28,610","00:13:31,250",おばあちゃん,田舎,"Past 2, 9/3",Shrine
193,せやけど、文字は消えても　伝統は消しちゃいかん。,"00:13:31,890","00:13:35,920",おばあちゃん,田舎,"Past 2, 9/3",Shrine
194,それがわしら宮水神社の大切なお役目。,"00:13:35,920","00:13:40,600",おばあちゃん,田舎,"Past 2, 9/3",Shrine
195,せやのに、あのバカ息子は・・・,"00:13:42,920","00:13:47,540",おばあちゃん,田舎,"Past 2, 9/3",Family relationship
196,神職を捨て、家を出た行くだけじゃ飽きたらん・・・,"00:13:47,540","00:13:52,330",おばあちゃん,田舎,"Past 2, 9/3",Family relationship
197,政治とは・・・どもならん？,"00:13:52,330","00:13:55,260",おばあちゃん,田舎,"Past 2, 9/3",Family relationship
198,おっとっと。,"00:13:59,440","00:14:00,650",テッシーのお父さん,田舎,"Past 2, 9/3",Scene change
199,今回も社長にはお世話になるで。,"00:14:00,650","00:14:03,170",おとさん,田舎,"Past 2, 9/3",Family relationship
200,任しとってください。,"00:14:03,170","00:14:04,810",テッシーのお父さん,田舎,"Past 2, 9/3",Family relationship
201,門入りと坂上あたりの票は間違いなぁですわ。,"00:14:04,810","00:14:08,400",テッシーのお父さん,田舎,"Past 2, 9/3",Family relationship
202,お前あの子じゃどう？,"00:14:08,400","00:14:09,880",モブ,田舎,"Past 2, 9/3",
203,そんな簡単にいかん。,"00:14:09,880","00:14:11,480",モブ,田舎,"Past 2, 9/3",
204,腐敗の匂いがするな。,"00:14:13,120","00:14:15,680",テッシー,田舎,"Past 2, 9/3",
205,何言っとるの？,"00:14:15,680","00:14:17,490",お母さん,田舎,"Past 2, 9/3",
206,おい、もう２、３本つけてくれ。,"00:14:17,490","00:14:20,120",テッシーのお父さん,田舎,"Past 2, 9/3",
207,はい、はい。,"00:14:20,120","00:14:21,500",テッシーのお母さん,田舎,"Past 2, 9/3",
208,克彦、週末は現場手伝え！,"00:14:21,500","00:14:24,140",テッシー,田舎,"Past 2, 9/3",Family relationship
209,ハッパ使うでな。勉強や。,"00:14:24,140","00:14:26,440",テッシーのお父さん,田舎,"Past 2, 9/3",Family relationship // Bomb
210,うん。,"00:14:26,440","00:14:27,440",テッシー,田舎,"Past 2, 9/3",Family relationship
211,返事は！,"00:14:27,440","00:14:28,670",テッシーのお父さん,田舎,"Past 2, 9/3",Family relationship
212,ああ！,"00:14:28,670","00:14:29,480",テッシー,田舎,"Past 2, 9/3",Family relationship
213,たまらんな・・・お互い。,"00:14:42,940","00:14:46,300",テッシー,田舎,"Past 2, 9/3",Door
214,あれ、四葉ちゃんか。大きゅうなったなぁ。,"00:15:03,840","00:15:07,290",モブ,田舎,"Past 2, 9/3",Scene change
215,二人ともお母さん似のべっぴんさんやわ。,"00:15:07,290","00:15:10,130",モブ,田舎,"Past 2, 9/3",
216,や。や。,"00:15:11,650","00:15:13,840",テッシー＆さや,田舎,"Past 2, 9/3",
217,世界最古の酒なんやて。,"00:15:46,170","00:15:48,860",テッシー,田舎,"Past 2, 9/3",Kuchikamizake
218,米を噛んで吐出して放置しとくだけで・・・,"00:15:48,860","00:15:52,100",テッシー,田舎,"Past 2, 9/3",Kuchikamizake
219,自然発酵してアルコールになるんやさ。,"00:15:52,100","00:15:54,780",テッシー,田舎,"Past 2, 9/3",Kuchikamizake
220,口噛み酒。,"00:15:54,780","00:15:56,780",さや,田舎,"Past 2, 9/3",Kuchikamizake
221,神様嬉しいんかなぁ、あんな酒もらって。,"00:15:56,780","00:16:00,080",さや,田舎,"Past 2, 9/3",Kuchikamizake
222,そら、嬉しいやろ。,"00:16:00,080","00:16:02,680",テッシー,田舎,"Past 2, 9/3",Kuchikamizake
223,ほれ見てみ。宮水や。,"00:16:03,330","00:16:06,940",クラスメイト,田舎,"Past 2, 9/3",
224,うわっ、私絶対無理！,"00:16:11,450","00:16:14,010",クラスメイト,田舎,"Past 2, 9/3",
225,よく人前でやりよるよな。,"00:16:14,010","00:16:15,870",クラスメイト,田舎,"Past 2, 9/3",
226,信じられんわ。,"00:16:15,870","00:16:18,090",クラスメイト,田舎,"Past 2, 9/3",
227,お姉ちゃん元気だしないよ～いいにん、,"00:16:31,740","00:16:35,310",よつは,田舎,"Past 2, 9/3",Scene change
228,学校の人に見られたくらい。,"00:16:35,310","00:16:37,050",みつは,田舎,"Past 2, 9/3",
229,思春期前のお子様は気楽でええよね。,"00:16:37,050","00:16:40,370",みつは,田舎,"Past 2, 9/3",
230,そうや！いっそ口噛み酒をたくさん作ってさ、,"00:16:40,370","00:16:43,530",よつは,田舎,"Past 2, 9/3",
231,東京行きの資金にしたら？,"00:16:43,530","00:16:45,230",よつは,田舎,"Past 2, 9/3",
232,あんたって、凄い発想するな・・・,"00:16:45,230","00:16:47,820",みつは,田舎,"Past 2, 9/3",
233,生写真とメイキング動画つけてさ・・・,"00:16:47,820","00:16:50,690",よつは,田舎,"Past 2, 9/3",
234,『巫女の区著噛み酒』って名前とか付けてさ！,"00:16:50,690","00:16:53,500",よつは,田舎,"Past 2, 9/3",
235,きっと売れるわ！,"00:16:53,500","00:16:55,500",よつは,田舎,"Past 2, 9/3",
236,だめ！酒税法違反！,"00:16:58,360","00:17:01,840",みつは,田舎,"Past 2, 9/3",
237,そういう問題なの？,"00:17:01,970","00:17:04,900",よつは,田舎,"Past 2, 9/3",
238,もうこんな町嫌やー！こんな人生嫌やー！,"00:17:10,130","00:17:15,380",みつは,田舎,"Past 2, 9/3",
239,来世は東京のイケメン男子にしてくださーい！,"00:17:15,380","00:17:20,370",みつは,田舎,"Past 2, 9/3",
240,あほな人やなぁ。,"00:17:23,730","00:17:26,460",よつは,田舎,"Past 2, 9/3",
